"time","hour","day","week",
0,0,0,0,
1800,0,0,0,
3600,1,0,0,
5400,1,0,0,
7200,2,0,0,
9000,2,0,0,
10800,3,0,0,
12600,3,0,0,
14400,4,0,0,
16200,4,0,0,
18000,5,0,0,
19800,5,0,0,
21600,6,0,0,
23400,6,0,0,
25200,7,0,0,
27000,7,0,0,
28800,8,0,0,
30600,8,0,0,
32400,9,0,0,
34200,9,0,0,
36000,10,0,0,
37800,10,0,0,
39600,11,0,0,
41400,11,0,0,
43200,12,0,0,
45000,12,0,0,
46800,13,0,0,
48600,13,0,0,
50400,14,0,0,
52200,14,0,0,
54000,15,0,0,
55800,15,0,0,
57600,16,0,0,
59400,16,0,0,
61200,17,0,0,
63000,17,0,0,
64800,18,0,0,
66600,18,0,0,
68400,19,0,0,
70200,19,0,0,
72000,20,0,0,
73800,20,0,0,
75600,21,0,0,
77400,21,0,0,
79200,22,0,0,
81000,22,0,0,
82800,23,0,0,
84600,23,0,0,
86400,0,1,0,
88200,0,1,0,
90000,1,1,0,
91800,1,1,0,
93600,2,1,0,
95400,2,1,0,
97200,3,1,0,
99000,3,1,0,
100800,4,1,0,
102600,4,1,0,
104400,5,1,0,
106200,5,1,0,
108000,6,1,0,
109800,6,1,0,
111600,7,1,0,
113400,7,1,0,
115200,8,1,0,
117000,8,1,0,
118800,9,1,0,
120600,9,1,0,
122400,10,1,0,
124200,10,1,0,
126000,11,1,0,
127800,11,1,0,
129600,12,1,0,
131400,12,1,0,
133200,13,1,0,
135000,13,1,0,
136800,14,1,0,
138600,14,1,0,
140400,15,1,0,
142200,15,1,0,
144000,16,1,0,
145800,16,1,0,
147600,17,1,0,
149400,17,1,0,
151200,18,1,0,
153000,18,1,0,
154800,19,1,0,
156600,19,1,0,
158400,20,1,0,
160200,20,1,0,
162000,21,1,0,
163800,21,1,0,
165600,22,1,0,
167400,22,1,0,
169200,23,1,0,
171000,23,1,0,
172800,0,2,0,
174600,0,2,0,
176400,1,2,0,
178200,1,2,0,
180000,2,2,0,
181800,2,2,0,
183600,3,2,0,
185400,3,2,0,
187200,4,2,0,
189000,4,2,0,
190800,5,2,0,
192600,5,2,0,
194400,6,2,0,
196200,6,2,0,
198000,7,2,0,
199800,7,2,0,
201600,8,2,0,
203400,8,2,0,
205200,9,2,0,
207000,9,2,0,
208800,10,2,0,
210600,10,2,0,
212400,11,2,0,
214200,11,2,0,
216000,12,2,0,
217800,12,2,0,
219600,13,2,0,
221400,13,2,0,
223200,14,2,0,
225000,14,2,0,
226800,15,2,0,
228600,15,2,0,
230400,16,2,0,
232200,16,2,0,
234000,17,2,0,
235800,17,2,0,
237600,18,2,0,
239400,18,2,0,
241200,19,2,0,
243000,19,2,0,
244800,20,2,0,
